dataset,sample_id,text,original_label,original_label_name,mapped_label,mapped_label_name,split,source_fields_used,context_text,modality,has_image,metadata,cleaning_notes
FakeNewsNet,fn_www.cinemablend.com_90,"Watch Jimmy Fallon Hilariously Cover Journey, Get Heckled By Will Ferrell",real,real,0,real,,title,,text,False,"{""source"": ""www.cinemablend.com"", ""url"": ""https://www.cinemablend.com/television/2302551/watch-jimmy-fallon-hilariously-cover-journey-get-heckled-by-will-ferrell"", ""source_domain"": ""www.cinemablend.com"", ""tweet_num"": ""0"", ""platform"": ""news""}",
FakeNewsNet,fn_madnessmedia.net_17,Zac Efron’s workout more intense than you imagined,real,real,0,real,,title,,text,False,"{""source"": ""madnessmedia.net"", ""url"": ""https://madnessmedia.net/zac-efron-workouts/"", ""source_domain"": ""madnessmedia.net"", ""tweet_num"": ""52"", ""platform"": ""news""}",
FakeNewsNet,fn_www.forbes.com_68,"Despite Season 2 Issues, Netflix Greenlights '13 Reasons Why' Season 3",real,real,0,real,,title,,text,False,"{""source"": ""www.forbes.com"", ""url"": ""https://www.forbes.com/sites/insertcoin/2018/06/06/despite-season-2-issues-netflix-greenlights-13-reasons-why-season-3/"", ""source_domain"": ""www.forbes.com"", ""tweet_num"": ""51"", ""platform"": ""news""}",
FakeNewsNet,fn_unknown_3,Historical aggregate income by fifths and top 5 percent,real,real,0,real,,title,,text,False,"{""source"": ""unknown"", ""tweet_num"": ""1014"", ""platform"": ""news""}",
FakeNewsNet,fn_www.nbcwashington.com_25,"David Cassidy, Fighting Memory Loss, Wants to 'Enjoy Life'",fake,fake,1,fake,,title,,text,False,"{""source"": ""www.nbcwashington.com"", ""url"": ""www.nbcwashington.com/entertainment/entertainment-news/David-Cassidy-of-Partridge-Family-Fighting-Dementia-414282263.html"", ""source_domain"": ""www.nbcwashington.com"", ""tweet_num"": ""230"", ""platform"": ""news""}",
FakeNewsNet,fn_thegoldwater.com_8,Clinton Body Count Series #5: Woman Set to Testify Against Clintons Blown Up in Home Explosion,fake,fake,1,fake,,title,,text,False,"{""source"": ""thegoldwater.com"", ""url"": ""https://thegoldwater.com/news/30915-Clinton-Body-Count-Series-5-Woman-Set-to-Testify-Against-Clintons-Blown-Up-in-Home-Explosion"", ""source_domain"": ""thegoldwater.com"", ""tweet_num"": ""262"", ""platform"": ""news""}",
FakeNewsNet,fn_www.lastylemagazine.com_29,North and Saint West Are Bath Time Besties in Kim Kardashian’s Latest Photo – L.A. STYLE Magazine,real,real,0,real,,title,,text,False,"{""source"": ""www.lastylemagazine.com"", ""url"": ""http://www.lastylemagazine.com/entertainment/north-and-saint-west-are-bath-time-besties-in-kim-kardashians-latest-photo/"", ""source_domain"": ""www.lastylemagazine.com"", ""tweet_num"": ""9"", ""platform"": ""news""}",
FakeNewsNet,fn_www.elle.com_45,All the Best Looks From the 2018 amfAR Cannes Gala,real,real,0,real,,title,,text,False,"{""source"": ""www.elle.com"", ""url"": ""https://www.elle.com/fashion/celebrity-style/g20733248/2018-amfar-cannes-gala-red-carpet-dresses/"", ""source_domain"": ""www.elle.com"", ""tweet_num"": ""47"", ""platform"": ""news""}",
FakeNewsNet,fn_bojtv.com_66,Kim Kardashian Dyes Pink Hair Brown Before Khloe Kardashian's Baby Shower,real,real,0,real,,title,,text,False,"{""source"": ""bojtv.com"", ""url"": ""http://bojtv.com/kim-kardashian-dyes-pink-hair-brown-before-khloe-kardashians-baby-shower/"", ""source_domain"": ""bojtv.com"", ""tweet_num"": ""56"", ""platform"": ""news""}",
FakeNewsNet,fn_people.com_56,"Tom Petty, 66, Rushed to Hospital After Suffering Full Cardiac Arrest: Report",real,real,0,real,,title,,text,False,"{""source"": ""people.com"", ""url"": ""https://people.com/music/tom-petty-cardiac-arrest-hospitalized/"", ""source_domain"": ""people.com"", ""tweet_num"": ""444"", ""platform"": ""news""}",
