id,title,text,label,_source
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
1,Real News 1,This is true.,real,politifact
2,Fake News 1,This is false.,fake,politifact
