id,claim,claim_en,verdict,train_mask,val_mask,test_mask
9,"Em vídeo, a jornalista Karina Michelin afirma que a vacina contra a Covid-19 causa alterações genéticas e é feita com DNA de fetos","In a video, journalist Karina Michelin states that the Covid-19 vaccine causes genetic alterations and is made with fetal DNA",misinformation,True,False,False
17,Pandemia de covid-19 é um plano de controle populacional intitulado “certificado de identificação de vacinação com inteligência artificial”,Covid-19 pandemic is a population control plan titled “Actificial Intelligence Vaccination Identification Certificate”,misinformation,True,False,False
29,"Covid-19 é o nome de um plano para reduzir a população, tomar vacinas enfraquece o sistema imunológico, os testes não detectam com precisão o novo coronavírus, segundo o doutor Roberto Petrella","Covid-19 is the name of a plan to reduce population, taking vaccines weakens the immune system, tests do not accurately detect the new coronavirus, according to Dr. Roberto Petrella",misinformation,True,False,False
30,"vacinas covid-19 vão “desligar” o nosso sistema imunológico, e não resistiremos a uma próxima mutação da covid-19.","covid-19 vaccines will “turn off” our immune system, and we won't resist the next covid-19 mutation.",misinformation,True,False,False
41,Finalmente achamos uma vacina que funciona! Parabéns à CHINA pelo exemplo de combate ao COVID-19! Todos devem comprar a Vacina Chinesa AGORA,We finally found a vaccine that works! Congratulations to CHINA for the example of fighting COVID-19! Everyone must buy the Chinese Vaccine NOW,misinformation,True,False,False
52,Desenvolvimento das vacinas contra covid-19 é comparável ao da talidomida,Development of vaccines against covid-19 is comparable to that of thalidomide,misinformation,True,False,False
55,"""Vacinas contra a Covid-19 não criam imunidade""","""Covid-19 vaccines do not create immunity""",misinformation,True,False,False
61,Diretora da OMS não recomenda que vacina contra covid-19 seja obrigatória,Director of WHO does not recommend that vaccine against covid-19 is mandatory,misinformation,True,False,False
62,"Vacina Covid-19 acelerada altera o DNA humano, transforma as pessoas em propriedades geneticamente modificadas","Accelerated Covid-19 Vaccine Alters Human DNA, Turns People into Genetically Modified Properties",misinformation,True,False,False
72,"Publicação mostra tabela sobre casos de problemas de pele, de visão e psiquiátricos causados pelas vacinas contra a Covid-19.","Publication shows a table on cases of skin, vision and psychiatric problems caused by Covid-19 vaccines.",misinformation,True,False,False
74,"Projeto de lei em tramitação na Câmara dos Deputados quer obrigar as pessoas a tomarem a vacina contra a covid-19, sob pena de serem detidos por até um ano","A bill pending in the Chamber of Deputies wants to force people to take the vaccine against covid-19, under penalty of being detained for up to one year",misinformation,True,False,False
76,A possibilidade de vacinação obrigatória contra a Covid-19 tem sido u......,The possibility of mandatory vaccination against Covid-19 has been u......,misinformation,True,False,False
77,Fotos mostram vacinação obrigatória contra a Covid-19 no Peru.,Photos show mandatory vaccination against Covid-19 in Peru.,misinformation,True,False,False
82,Primeira pessoa a ser vacinada contra covid-19 já tinha recebido o imunizante antes,First person to be vaccinated against covid-19 had already received the immunizing agent before,misinformation,True,False,False
104,Momento constrangedor com uma notificação da Porn Hub a entrar durante um direto da CNN com uma atualização dos resultados eleitorais.,Embarrassing moment with a notification from Porn Hub coming in during a CNN direct with an update of election results.,misinformation,True,False,False
121,Um cientista clínico e imunologista-virologista em um laboratório do sul da Califórnia diz que nenhuma das 1.500 amostras de pessoas com teste “positivo” conseguiu encontrar Covid-19,"A clinical scientist and immunologist-virologist at a Southern California laboratory says none of the 1,500 samples from people who test ""positive"" could find Covid-19",misinformation,True,False,False
128,CORONAVÍRUS na China! Verdadeira realidade da China! Previnam-se amigos,CORONAVIRUS in China! China's real reality! beware friends,misinformation,True,False,False
157,“Sopa de morcego na China pode ser a origem do corona vírus!”,"""Bat soup in China could be the origin of the corona virus!""",misinformation,True,False,False
169,"Os testes para covid-19 são vendidos desde 2018, antes da detecção da doença","Tests for covid-19 have been sold since 2018, before the disease is detected.",misinformation,True,False,False
175,Publicação do The American Journal of Medicine garante eficácia do uso precoce de hidroxicloroquina no combate à covid-19,Publication of The American Journal of Medicine guarantees efficacy of early use of hydroxychloroquine in combating covid-19,misinformation,True,False,False
