dataset,sample_id,text,original_label,original_label_name,mapped_label,mapped_label_name,split,source_fields_used,context_text,modality,has_image,metadata,cleaning_notes
MuMiN,mn_552,"“Netflix co-founder and CEO arrested for possession of child pornographic material. Reed Hastings arrested by FBI agents in his California home, 13,000 files found in his notebook and home.”",misinformation,misinformation,1,fake,validate,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_476,URGENT: TSE hacker invasion reveals ballot box fraud with the seal of electoral justice. @crisbrasilreal found that valid votes and those of those who justify are in different databases. They can unload the votes of those who will justify on the left. ASCOM OE,misinformation,misinformation,1,fake,test,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_479,Doria wore a mask printed with a Chinese flag,misinformation,misinformation,1,fake,test,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_72,"Publication shows a table on cases of skin, vision and psychiatric problems caused by Covid-19 vaccines.",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_286,"""Two-year-old baby dies during Pfizer's Covid-19 vaccine trials in children.""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_242,"""When Prince Philip decided to play a prank on the Queen and dressed as a Kingsguard awaiting her at Buckingham Palace. The Queen could not bear the laughter.""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_17,Covid-19 pandemic is a population control plan titled “Actificial Intelligence Vaccination Identification Certificate”,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_488,"""The use of masks in public spaces will be mandatory as early as next week.""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_121,"A clinical scientist and immunologist-virologist at a Southern California laboratory says none of the 1,500 samples from people who test ""positive"" could find Covid-19",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_477,JOÃO DÓRIA from PSDB went to vote with the mask of the Chinese flag! Does anyone doubt that this #DoriaCorretorChines represents the interests of the PCC,misinformation,misinformation,1,fake,test,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_480,URGENT: TSE hacker invasion reveals ballot box fraud with the seal of electoral justice.,misinformation,misinformation,1,fake,test,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_74,"A bill pending in the Chamber of Deputies wants to force people to take the vaccine against covid-19, under penalty of being detained for up to one year",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_458,"""More vaccinated die than unvaccinated""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_526,These are the exact probabilities of contagion of the new coronavirus with or without a mask,misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_457,"""STUDY: 82% of pregnant women who were vaccinated against Covid during the first six months suffered a miscarriage. Of 127 babies killed 104""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_562,"""We didn't defend the exit from the euro, we never did""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
MuMiN,mn_435,"""British report calls for immediate suspension of administration of Covid-19 vaccines in humans""",misinformation,misinformation,1,fake,train,claim_en,,text,False,"{""platform"": ""Twitter"", ""language"": ""pt""}",
